,meas,spid,direction,sc_hit,mc_hit111,keep,relation
69,ROS,165,up,1,1,y,
74,ROS,470,up,1,1,y,
18,ROS,627,up,1,1,y,
61,ROS,180,up,1,2,y,
64,ROS,199,up,1,2,y,
47,ROS,231,up,1,2,y,
86,ROS,360,up,1,2,y,
78,ROS,452,up,1,2,y,
27,ROS,591,up,1,2,y,
60,ROS,179,up,1,3,y,
50,ROS,299,up,1,3,y,
72,ROS,462,up,1,3,y,
85,ROS,507,up,1,3,y,
21,ROS,612,up,1,3,y,
44,ROS,222,up,1,4,y,
53,ROS,276,up,1,4,y,
92,ROS,397,up,1,4,y,
19,ROS,597,up,1,4,y,
57,ROS,146,up,1,,y,
67,ROS,159,up,1,,n,
63,ROS,196,up,1,,n,
43,ROS,216,up,1,,n,
87,ROS,318,up,1,,n,
88,ROS,320,up,1,,n,
91,ROS,337,up,1,,n,
76,ROS,435,up,1,,n,
2,ROS,484,down,1,,n,
82,ROS,494,up,1,,n,
9,ROS,560,up,1,,n,
11,ROS,651,up,1,,n,
33,ROS,679,up,1,,n,
84,ROS,502,up,2,1,y,
80,ROS,513,up,2,1,n,
17,ROS,594,up,2,1,y,<
13,ROS,666,up,2,1,n,
46,ROS,224,up,2,2,y,
83,ROS,496,up,2,2,y,
26,ROS,569,up,2,2,y,
25,ROS,620,up,2,2,y,
77,ROS,45,up,2,3,y,
56,ROS,143,up,2,3,y,
62,ROS,183,up,2,3,y,
37,ROS,239,up,2,3,y,
54,ROS,312,up,2,3,y,
15,ROS,556,up,2,3,y,
5,ROS,567,up,2,3,y,
6,ROS,641,up,2,3,y,
34,ROS,678,up,2,3,y,
48,ROS,234,up,2,4,y,
39,ROS,252,up,2,4,y,
40,ROS,253,up,2,4,y,
94,ROS,382,up,2,4,y,
36,ROS,580,up,2,4,y,
20,ROS,616,up,2,4,y,
23,ROS,618,up,2,4,y,
24,ROS,619,up,2,4,y,
35,ROS,633,up,2,4,y,
22,ROS,693,up,2,4,y,
73,ROS,47,up,2,,n,
71,ROS,172,up,2,,n,
42,ROS,204,up,2,,n,
45,ROS,223,up,2,,n,
38,ROS,248,up,2,,n,
1,ROS,319,down,2,,n,
79,ROS,486,up,2,,n,
12,ROS,83,up,3,1,y,
41,ROS,203,up,3,1,n,
59,ROS,116,up,3,2,y,<
65,ROS,189,up,3,2,y,
89,ROS,333,up,3,3,y,
75,ROS,478,up,3,3,y,
29,ROS,639,up,3,3,y,
4,ROS,76,up,3,4,y,
66,ROS,152,up,3,4,y,
68,ROS,163,up,3,4,y,
49,ROS,296,up,3,4,y,
0,ROS,352,down,3,4,y,<
93,ROS,376,up,3,4,y,
30,ROS,634,up,3,4,y,
10,ROS,9,up,3,,n,
7,ROS,67,up,3,,n,
3,ROS,98,up,3,,n,
70,ROS,168,up,3,,n,
90,ROS,335,up,3,,n,
58,ROS,105,up,4,1,n,
14,ROS,544,up,4,1,y,
32,ROS,59,up,4,3,y,
16,ROS,602,up,4,3,y,
28,ROS,72,up,4,4,y,
52,ROS,288,up,4,4,y,
51,ROS,309,up,4,4,y,
81,ROS,487,up,4,4,y,
8,ROS,566,up,4,4,y,
31,ROS,68,up,4,,y,
55,ROS,125,up,4,,y,
96,ROS,55,down,,1,y,<
118,ROS,71,up,,1,y,<
104,ROS,85,up,,1,y,
111,ROS,87,up,,1,n,
108,ROS,89,up,,1,n,
107,ROS,102,up,,1,n,
99,ROS,108,down,,1,y,
117,ROS,127,up,,1,n,
102,ROS,170,up,,1,n,
100,ROS,178,up,,1,n,
156,ROS,245,up,,1,y,
128,ROS,259,up,,1,y,
140,ROS,325,up,,1,y,
143,ROS,339,up,,1,y,
155,ROS,460,up,,1,y,
158,ROS,473,up,,1,y,
152,ROS,547,up,,1,y,
98,ROS,639,down,,1,n,
97,ROS,8,down,,2,y,
147,ROS,35,up,,2,y,
103,ROS,60,up,,2,y,
120,ROS,74,up,,2,y,
112,ROS,123,up,,2,y,
115,ROS,126,up,,2,n,
136,ROS,257,up,,2,y,
131,ROS,258,up,,2,y,<
141,ROS,326,up,,2,y,
126,ROS,372,up,,2,y,
148,ROS,450,up,,2,y,
95,ROS,458,down,,2,n,
154,ROS,517,up,,2,y,
149,ROS,528,up,,2,y,
151,ROS,540,up,,2,y,
125,ROS,568,up,,2,y,
105,ROS,572,up,,2,y,
116,ROS,688,up,,2,y,<
121,ROS,721,up,,2,y,<
142,ROS,265,up,,3,y,
145,ROS,281,up,,3,y,
139,ROS,319,up,,3,y,
146,ROS,349,up,,3,y,
134,ROS,410,up,,3,y,
159,ROS,484,up,,3,y,
106,ROS,573,up,,3,y,
109,ROS,578,up,,3,y,
110,ROS,588,up,,3,y,
124,ROS,656,up,,3,y,
114,ROS,686,up,,3,y,
122,ROS,712,up,,3,y,
101,ROS,171,up,,4,y,
162,ROS,227,up,,4,y,
160,ROS,232,up,,4,y,
157,ROS,237,up,,4,y,
144,ROS,284,up,,4,y,
138,ROS,316,up,,4,y,
137,ROS,366,up,,4,y,
127,ROS,383,up,,4,y,
129,ROS,400,up,,4,y,
130,ROS,401,up,,4,y,
132,ROS,402,up,,4,y,
133,ROS,406,up,,4,y,
135,ROS,444,up,,4,y,
161,ROS,511,up,,4,y,
150,ROS,531,up,,4,y,
153,ROS,559,up,,4,y,
119,ROS,624,up,,4,y,
123,ROS,654,up,,4,y,
113,ROS,696,up,,4,y,
